english	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
Copy your key from Preferences → API Key.	Key unter Preferences → API Key kopieren.	Copiez la clé dans Preferences → API Key.	Preferences → API Key에서 키를 복사하세요.	Copia la clave en Preferences → API Key.					Copia la chiave da Preferences → API Key.	Copie sua chave em Preferences → API Key.		Skopiuj klucz z Preferences → API Key.
Could not reach the helper.	Helper nicht erreichbar.	Helper injoignable.	헬퍼에 연결할 수 없습니다.	No se pudo contactar al helper.					Impossibile raggiungere l'helper.	Não foi possível alcançar o helper.		Nie można połączyć się z helperem.
Couldn't load	Konnte nicht laden	Chargement impossible	불러오지 못했습니다	No se pudo cargar					Errore di caricamento	Falha ao carregar		Nie udało się wczytać
Covers for Xbox, Epic and your own games	Cover für Xbox, Epic und eigene Spiele	Jaquettes pour Xbox, Epic et vos jeux	Xbox, Epic, 직접 추가한 게임의 커버	Portadas para Xbox, Epic y tus juegos					Copertine per Xbox, Epic e i tuoi giochi	Capas para Xbox, Epic e seus próprios jogos		Okładki dla gier Xbox, Epic i własnych
Create Backup	Backup erstellen	Créer un backup	백업 생성	Crear copia					Crea backup	Criar backup		Utwórz kopię
Create Backup writes one ZIP to Documents\\ClawTweaks\\Backups.	Create Backup schreibt eine ZIP nach Dokumente\\ClawTweaks\\Backups.	Create Backup écrit un ZIP dans Documents\\ClawTweaks\\Backups.	Create Backup은 Documents\\ClawTweaks\\Backups에 ZIP 하나를 씁니다.	Create Backup escribe un ZIP en Documentos\\ClawTweaks\\Backups.					Crea backup scrive un unico ZIP in Documenti\\ClawTweaks\\Backups.	Criar backup grava um único ZIP em Documentos\\ClawTweaks\\Backups.		Utwórz kopię zapisuje jeden ZIP w Dokumenty\\ClawTweaks\\Backups.
Create a free SteamGridDB account.	Kostenloses SteamGridDB-Konto anlegen.	Créez un compte SteamGridDB gratuit.	무료 SteamGridDB 계정을 만드세요.	Crea una cuenta gratis en SteamGridDB.					Crea un account SteamGridDB gratuito.	Crie uma conta gratuita no SteamGridDB.		Załóż darmowe konto SteamGridDB.
Create backup	Backup erstellen	Créer un backup	백업 생성	Crear backup					Crea backup	Criar backup		Utwórz kopię
Creating backup…	Backup wird erstellt…	Création du backup…	백업 생성 중…	Creando copia…					Creazione del backup…	Criando backup…		Tworzenie kopii…
Currently disabled.	Gerade abgeschaltet.	Actuellement désactivé.	현재 비활성 상태.	Ahora desactivado.					Attualmente disattivato.	Desativado no momento.		Obecnie wyłączone.
Currently installed	Derzeit installiert	Actuellement installée	현재 설치됨	Instalada ahora					Attualmente installato	Instalado no momento		Obecnie zainstalowane
Currently running.	Läuft gerade.	En cours d'exécution.	실행 중입니다.	En ejecución.					Attualmente in esecuzione.	Em execução no momento.		Obecnie uruchomione.
Deletes the entry, not the app	Löscht den Eintrag, nicht die App	Supprime l'entrée, pas l'app	앱이 아니라 항목만 삭제	Borra la entrada, no la app					Elimina la voce, non l'app	Apaga a entrada, não o app		Usuwa wpis, nie aplikację
Desktop icon	Desktop-Symbol	Icône bureau	바탕 화면 아이콘	Icono de escritorio					Icona sul desktop	Ícone no desktop		Ikona na pulpicie
Detecting device…	Gerät wird erkannt…	Détection de l'appareil…	장치 감지 중…	Detectando el dispositivo…					Rilevamento del dispositivo…	Detectando dispositivo…		Wykrywanie urządzenia…
Did not confirm in time.	Nicht rechtzeitig bestätigt.	Pas confirmé à temps.	제때 확인되지 않았습니다.	No confirmó a tiempo.					Nessuna conferma in tempo.	Não confirmou a tempo.		Brak potwierdzenia na czas.
Did not enable in time.	Nicht rechtzeitig aktiviert.	Pas activé à temps.	제때 활성화되지 않았습니다.	No se activó a tiempo.					Non attivato in tempo.	Não ativou a tempo.		Nie włączyło się na czas.
Different device	Anderes Gerät	Autre appareil	다른 장치	Otro dispositivo					Dispositivo diverso	Dispositivo diferente		Inne urządzenie
Disable MSI Center M	MSI Center M abschalten	Désactiver MSI Center M	MSI Center M 비활성화	Desactivar MSI Center M					Disattiva MSI Center M	Desativar o MSI Center M		Wyłącz MSI Center M
Disable MSI Center M first.	Erst MSI Center M abschalten.	Désactivez d'abord MSI Center M.	먼저 MSI Center M을 끄세요.	Desactiva antes MSI Center M.					Disattiva prima MSI Center M.	Desative o MSI Center M primeiro.		Najpierw wyłącz MSI Center M.
Disabled	Aus	Désactivé	사용 안 함	Desactivado					Disattivato	Desativado		Wyłączone
Do I have to switch MSI Center M off?	Muss ich MSI Center M abschalten?	Dois-je désactiver MSI Center M ?	MSI Center M을 꺼야 하나요?	¿Tengo que desactivar MSI Center M?					Devo spegnere MSI Center M?	Preciso desligar o MSI Center M?		Czy muszę wyłączyć MSI Center M?
Do I need the Game Bar for the game library?	Brauche ich die Game Bar für die Spielebibliothek?	Ai-je besoin du Game Bar pour la bibliothèque ?	게임 라이브러리에 게임 바가 필요한가요?	¿Necesito la Game Bar para la biblioteca?					Mi serve la Game Bar per la libreria dei giochi?	Preciso da Game Bar para a biblioteca de jogos?		Czy biblioteka gier wymaga Game Bar?
Do not remove ClawTweaks through the Windows app list.	Deinstalliere ClawTweaks nicht über die Windows-App-Liste.	Ne supprime pas ClawTweaks depuis la liste des applications Windows.	Windows 앱 목록에서 ClawTweaks를 제거하지 마세요.	No elimines ClawTweaks desde la lista de aplicaciones de Windows.					Non rimuovere ClawTweaks dall'elenco app di Windows.	Não remova o ClawTweaks pela lista de apps do Windows.		Nie usuwaj ClawTweaks przez listę aplikacji Windows.
Downgrade	Ältere Version	Rétrogradation	이전 버전	Bajar versión					Downgrade	Reverter versão		Cofnij wersję
Download and package install in progress.	Download und Paketinstallation laufen.	Téléchargement et installation en cours.	다운로드 및 패키지 설치 진행 중.	Descarga e instalación en curso.					Download e installazione del pacchetto in corso.	Download e instalação do pacote em andamento.		Trwa pobieranie i instalacja pakietu.
Download the ClawTweaks setup and run that instead.	Lade das ClawTweaks-Setup herunter und führe stattdessen dieses aus.	Téléchargez le programme d'installation ClawTweaks et lancez-le à la place.	ClawTweaks 설치 파일을 내려받아 대신 실행하세요.	Descarga el instalador de ClawTweaks y ejécutalo en su lugar.					Scarica il setup di ClawTweaks e avvia quello.	Baixe o setup do ClawTweaks e execute-o no lugar.		Pobierz instalator ClawTweaks i uruchom go zamiast tego.
Downloading	Lädt	Téléchargement	다운로드 중	Descargando					Download in corso	Baixando		Pobieranie
E-core EPP	E-Kerne EPP	EPP cœurs E	E코어 EPP	EPP núcleos E					EPP E-core	EPP E-core		EPP E-core
E-core max	E-Kerne max.	Max cœurs E	E코어 최대	Máx. núcleos E					Max E-core	Máx. E-core		Maks. E-core
E-core state	E-Kerne Zustand	État cœurs E	E코어 상태	Estado núcleos E					Stato E-core	Estado E-core		Stan E-core
Edit name	Name ändern	Modifier le nom	이름 편집	Editar nombre					Modifica nome	Editar nome		Edytuj nazwę
Edit search	Suche ändern	Modifier	검색 편집	Editar búsqueda					Modifica ricerca	Editar busca		Edytuj zapytanie
Enable the virtual controller first.	Erst den virtuellen Controller aktivieren.	Activez d'abord la manette virtuelle.	먼저 가상 컨트롤러를 켜세요.	Activa antes el mando virtual.					Attiva prima il controller virtuale.	Ative o controle virtual primeiro.		Najpierw włącz wirtualny kontroler.
Enable virtual controller	Virtuellen Controller aktivieren	Activer la manette virtuelle	가상 컨트롤러 활성화	Activar el mando virtual					Attiva il controller virtuale	Ativar controle virtual		Włącz wirtualny kontroler
Enabled	An	Activé	사용	Activado					Attivato	Ativado		Włączone
Enter the slot ClawTweaks sits at, then Run.	Den Platz eintragen, an dem ClawTweaks sitzt, dann Starten.	Indiquez la position de ClawTweaks, puis Lancer.	ClawTweaks가 있는 위치를 입력한 뒤 실행하세요.	Indica la posición de ClawTweaks y pulsa Ejecutar.					Inserisci la posizione di ClawTweaks, poi Esegui.	Informe a posição do ClawTweaks e depois Executar.		Podaj pozycję ClawTweaks, potem Uruchom.
Exit	Beenden	Quitter	종료	Salir					Esci	Sair		Wyjdź
Expected for a same-version reinstall — the helper doesn't restart or show a UAC prompt when nothing changed. Open the Game Bar (Win+G) to check it's still running.	Bei einer Neuinstallation derselben Version normal — der Helper startet nicht neu und zeigt keine UAC-Abfrage, wenn sich nichts geändert hat. Öffne die Game Bar (Win+G), um zu prüfen, ob er noch läuft.	Normal pour une réinstallation de la même version — l'assistant ne redémarre pas et n'affiche pas d'invite UAC si rien n'a changé. Ouvre la Game Bar (Win+G) pour vérifier qu'il tourne toujours.	동일한 버전을 다시 설치할 때는 정상입니다 — 변경된 것이 없으면 헬퍼는 다시 시작하거나 UAC 창을 표시하지 않습니다. Game Bar(Win+G)를 열어 실행 중인지 확인하세요.	Es normal al reinstalar la misma versión — el asistente no se reinicia ni muestra un aviso de UAC si nada ha cambiado. Abre la Game Bar (Win+G) para comprobar que sigue en marcha.					Normale per una reinstallazione della stessa versione — l'helper non si riavvia né mostra un prompt UAC se nulla è cambiato. Apri la Game Bar (Win+G) per verificare che sia ancora attivo.	Esperado ao reinstalar a mesma versão — o helper não reinicia nem mostra o UAC se nada mudou. Abra a Game Bar (Win+G) para conferir se ele ainda está em execução.		Normalne przy reinstalacji tej samej wersji — helper nie uruchamia się ponownie ani nie pokazuje UAC, gdy nic się nie zmieniło. Otwórz Game Bar (Win+G), aby sprawdzić, czy nadal działa.
Experimental versions (nightly)	Experimentelle Versionen (Nightly)	Versions expérimentales (nightly)	실험 버전 (나이트리)	Versiones experimentales (nightly)					Versioni sperimentali (nightly)	Versões experimentais (nightly)		Wersje eksperymentalne (nightly)
Folder is gone	Ordner fehlt	Dossier introuvable	폴더 없음	Carpeta perdida					La cartella non c'è più	A pasta sumiu		Folder zniknął
FPS cap	FPS-Limit	Limite FPS	FPS 제한	Límite FPS					Limite FPS	Limite FPS		Limit FPS
Favorites	Favoriten	Favoris	즐겨찾기	Favoritos					Preferiti	Favoritos		Ulubione
Final clean-up and check. MSI Center M is handled here (after installation) because it fights ClawTweaks for the controller and LED.	Letzte Aufräumarbeiten und Prüfung. MSI Center M kommt hier dran (nach der Installation), weil es ClawTweaks um Controller und LED streitig macht.	Dernier nettoyage et vérification. MSI Center M est traité ici (après l'installation) car il dispute la manette et la LED à ClawTweaks.	마지막 정리 및 확인입니다. MSI Center M은 컨트롤러와 LED를 두고 ClawTweaks와 충돌하므로 설치 후 여기서 처리합니다.	Limpieza y comprobación finales. MSI Center M se trata aquí (tras instalar) porque le disputa a ClawTweaks el mando y el LED.					Pulizia e verifica finali. MSI Center M viene gestito qui (dopo l'installazione) perché contende a ClawTweaks il controller e i LED.	Limpeza e verificação finais. O MSI Center M é tratado aqui (após a instalação) porque disputa o controle e o LED com o ClawTweaks.		Końcowe porządki i sprawdzenie. MSI Center M jest obsługiwany tutaj (po instalacji), bo walczy z ClawTweaks o kontroler i LED.
Final controller check	Letzte Controller-Prüfung	Vérification finale de la manette	마지막 컨트롤러 확인	Comprobación final del mando					Verifica finale del controller	Verificação final do controle		Końcowe sprawdzenie kontrolera
Finish here and close the window.	Hier fertig, Fenster schließen.	Terminer ici et fermer la fenêtre.	여기서 끝내고 창을 닫습니다.	Termina aquí y cierra la ventana.					Termina qui e chiudi la finestra.	Termine aqui e feche a janela.		Zakończ tutaj i zamknij okno.
Firmware button remapping is there too, and works without it.	Ein Button-Remapping über die Firmware gibt es ebenfalls, das läuft auch ohne.	Un remappage des boutons par le firmware existe aussi, et fonctionne sans lui.	펌웨어 버튼 리매핑도 있으며, 이것 없이도 동작합니다.	También existe el remapeo de botones por firmware, y funciona sin él.					C'è anche il remap dei tasti via firmware, e funziona senza.	O remapeamento de botões por firmware também existe e funciona sem ele.		Mapowanie przycisków w firmware też tam jest i działa bez niego.
First install on this PC — Windows will ask for permission once.	Erste Installation auf diesem PC — Windows fragt einmal nach der Erlaubnis.	Première installation sur ce PC — Windows demandera l'autorisation une fois.	이 PC의 첫 설치입니다 — Windows가 한 번 권한을 묻습니다.	Primera instalación en este PC — Windows pedirá permiso una vez.					Prima installazione su questo PC — Windows chiederà il permesso una volta.	Primeira instalação neste PC — o Windows pedirá permissão uma vez.		Pierwsza instalacja na tym PC — Windows raz poprosi o zgodę.
Frame generation	Frame Generation	Génération d'images	프레임 생성	Generación de fotogramas					Frame generation	Geração de quadros		Generowanie klatek
Front and M back-button mapping, gyro with smoothing, per-game profiles.	Front- und M-Back-Button-Mapping, Gyro mit Glättung, Profile pro Spiel.	Mappage des boutons avant et des palettes M, gyro lissé, profils par jeu.	전면 및 M 백 버튼 매핑, 스무딩 자이로, 게임별 프로필.	Mapeo de botones frontales y traseros M, giro suavizado, perfiles por juego.					Mappatura dei tasti frontali e M posteriori, giroscopio con smoothing, profili per gioco.	Mapeamento dos botões frontais e M traseiros, giroscópio com suavização, perfis por jogo.		Mapowanie przycisków przednich i tylnych M, żyroskop z wygładzaniem, profile per gra.
Fullscreen	Vollbild	Plein écran	전체 화면	Pantalla completa					Schermo intero	Tela cheia		Pełny ekran
GPU scaling	GPU-Skalierung	Échelle GPU	GPU 스케일링	Escalado de GPU					Scaling GPU	Escala da GPU		Skalowanie GPU
Game Library	Bibliothek	Bibliothèque	라이브러리	Biblioteca					Libreria giochi	Biblioteca de jogos		Biblioteka gier
